incident_rate_per_100k,city,season,year
3974.712271032582,Lehi,Summer,2017
3048.339981782203,Lehi,Summer,2018
4618.057736188742,Lehi,Winter,2010
4361.635872949969,Lehi,Winter,2011
3440.2238460454537,Lehi,Winter,2012
3320.0350296779216,Lehi,Winter,2013
3372.724137305088,Lehi,Winter,2014
4150.877192982456,Lehi,Winter,2015
4649.8627909340385,Lehi,Winter,2016
4261.6307343167455,Lehi,Winter,2017
3232.0884505449635,Lehi,Winter,2018
7948.7285336856,Logan,Fall,2011
242.65410574825148,Logan,Fall,2012
18.332179085020574,Logan,Fall,2013
746.0708971196772,Logan,Fall,2014
140.67851900179414,Logan,Fall,2015
403.86586027446805,Logan,Fall,2016
120.50334841271408,Logan,Fall,2017
258.727140869088,Logan,Fall,2018
6335.515181174935,Logan,Spring,2012
140.54670631849106,Logan,Spring,2013
8.153780296389913,Logan,Spring,2014
36.698744087424565,Logan,Spring,2015
2069.5613735457814,Logan,Spring,2016
341.0494129637978,Logan,Spring,2018
5.844079947013675,Logan,Spring,2019
248.7714361452662,Logan,Summer,2012
10.184543936122541,Logan,Summer,2013
479.03459241290744,Logan,Summer,2014
12.232914695808187,Logan,Summer,2015
1223.65327814503,Logan,Summer,2016
29.631970921159205,Logan,Summer,2017
239.12659989415707,Logan,Summer,2018
2540.86856010568,Logan,Winter,2011
4455.45563915907,Logan,Winter,2012
134.43597995681753,Logan,Winter,2013
1157.836802087368,Logan,Winter,2014
205.92073071277116,Logan,Winter,2015
628.9055436114851,Logan,Winter,2016
264.71227356235556,Logan,Winter,2017
1509.24165506968,Logan,Winter,2018
190.90661160244673,Logan,Winter,2019
22.642876551037045,Orem,Fall,2010
27.050787854196255,Orem,Fall,2011
8.928073210200322,Orem,Fall,2012
23.184437722184192,Orem,Fall,2013
12.04581791103616,Orem,Fall,2014
2168.2975416475124,Orem,Fall,2015
76.77788796826513,Orem,Fall,2016
196.0743844296299,Orem,Fall,2017
41.976370374920656,Orem,Fall,2018
9.057150620414818,Orem,Spring,2010
22.54232321183021,Orem,Spring,2011
17.856146420400645,Orem,Spring,2012
8.832166751308264,Orem,Spring,2013
19.711338399877352,Orem,Spring,2014
3110.702480243427,Orem,Spring,2015
100.2377981807906,Orem,Spring,2016
116.61266021341149,Orem,Spring,2017
1088.3141880131868,Orem,Spring,2018
1.0263779123473262,Orem,Spring,2019
13.585725930622226,Orem,Summer,2010
36.06771713892834,Orem,Summer,2011
21.20417387422577,Orem,Summer,2012
71.76135485437965,Orem,Summer,2013
20.80641275542609,Orem,Summer,2014
4934.2177272826775,Orem,Summer,2015
158.88757371210423,Orem,Summer,2016
109.38886710284616,Orem,Summer,2017
91.11943813092532,Orem,Summer,2018
22.642876551037045,Orem,Winter,2010
46.21176258425193,Orem,Winter,2011
21.20417387422577,Orem,Winter,2012
19.872375190443595,Orem,Winter,2013
578.1992597297357,Orem,Winter,2014
2632.3854556599026,Orem,Winter,2015
103.43687684613498,Orem,Winter,2016
332.29448308600445,Orem,Winter,2017
1250.0767860433687,Orem,Winter,2018
25.659447808683158,Orem,Winter,2019
42675.664946407305,Park City,Fall,2010
36767.59732599292,Park City,Fall,2011
26780.88367899008,Park City,Fall,2012
26325.201175118153,Park City,Fall,2013
26587.552076757987,Park City,Fall,2014
25399.38080495356,Park City,Fall,2015
22992.879941075375,Park City,Fall,2016
25523.71779436552,Park City,Fall,2017
17303.584144315217,Park City,Fall,2018
45414.847161572055,Park City,Spring,2010
41709.26726962905,Park City,Spring,2011
32616.25660182919,Park City,Spring,2012
36326.47847745562,Park City,Spring,2013
34313.84926145688,Park City,Spring,2014
20804.953560371516,Park City,Spring,2015
22624.601031180948,Park City,Spring,2016
25812.66554298098,Park City,Spring,2017
19226.204604794682,Park City,Spring,2018
54770.41153897049,Park City,Summer,2010
51697.47017957793,Park City,Summer,2011
29447.378590751,Park City,Summer,2012
35189.6793971133,Park City,Summer,2013
30564.32268652948,Park City,Summer,2014
25647.058823529413,Park City,Summer,2015
21814.38742941321,Park City,Summer,2016
24945.8222971346,Park City,Summer,2017
22786.612864941846,Park City,Summer,2018
47968.77067619425,Park City,Winter,2010
40765.50006553939,Park City,Winter,2011
41053.71634677316,Park City,Winter,2012
34410.5249712607,Park City,Winter,2013
32117.15692463073,Park City,Winter,2014
30291.021671826624,Park City,Winter,2015
25877.73140191505,Park City,Winter,2016
21695.160125210692,Park City,Winter,2017
